a52dec 0.7.4-9
aalib 1.4rc5-12
accerciser 3.22.0-2
accountsservice 0.6.45-1
acl 2.2.52-4
acpid 2.0.28-1
adobe-source-code-pro-fonts 2.030ro+1.050it-4
adwaita-icon-theme 3.26.0-1
aisleriot 3.22.4-1
alsa-lib 1.1.4.1-2
alsa-plugins 1.1.4-1
android-studio 3.0.0.18-1
anjuta 3.22.0+1+g2bd433c-1
apache 2.4.29-1
apm 1.18.10-1
apr 1.6.3-1
apr-util 1.6.1-1
arandr 0.1.9-2
arc-gtk-theme 20170302-4
archlinux-keyring 20171020-1
asar 0.13.0-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
atom 1.22.0-1
atomix 3.22.0-1
attica-qt5 5.40.0-1
attr 2.4.47-3
autoconf 2.69-4
autoconf-archive 1:2017.09.28-1
autocutsel 0.10.0-2
autogen 5.18.12-2
automake 1.15.1-1
avahi 0.7-1
babl 0.1.30-1
baloo 5.40.0-1
baobab 3.26.1-1
bash 4.4.012-2
bash-completion 2.7-2
bbswitch 0.8-83
bc 1.07.1-1
bcg729 1.0.4-1
bctoolbox 0.6.0-1
bijiben 3.26.2-1
bind-tools 9.11.2-2
binutils 2.29.1-1
bison 3.0.4-3
bitchx-git 1.2.1.r277.g5bd8a40-1
blueberry 1.1.15-1
blueman 2.0.5-1
bluez 5.47-2
bluez-libs 5.47-2
bluez-tools 0.2.0-1
bluez-utils 5.47-2
boost-libs 1.65.1-1
bootstrap 3.3.7-2
brasero 3.12.2-2
breeze 5.11.3-1
breeze-gtk 5.11.3-1
breeze-icons 5.40.0-1
brltty 5.5-2
btrfs-progs 4.13-1
bubblewrap 0.2.0-1
bumblebee 3.2.1-15
bzip2 1.0.6-6
bzrtp 1.0.6-1
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-2
ca-certificates-utils 20170307-1
cabextract 1.6-2
cairo 1.15.8-2
cairomm 1.12.2-2
calc 2.12.6.0-1
calcurse 4.3.0-1
cantarell-fonts 1:0.0.25-3
caribou 0.4.21+0+g36e3d0f-2
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a07-2
celt 0.11.3-3
celt0.5.1 0.5.1.3-3
cheese 3.26.0-1
chromaprint 1.4.2-1
chrome-remote-desktop 61.0.3163.20-2
chromium 62.0.3202.94-1
chrpath 0.16-1
cifs-utils 6.7-2
clang 5.0.0-1
clion 1:2017.2.3-1
clutter 1.26.2-1
clutter-gst 3.0.24-1
clutter-gtk 1.8.4-1
cmake 3.9.5-1
cmatrix 1.2a-12
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1-1
colord-gtk 0.1.26+5+ga9d9c91-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-8
confuse 3.2.1-1
conky 1.10.6-2
convertlit 1.8-7
corebird 1.7.2-2
coreutils 8.28-1
cower 17-2
cpio 2.12-3
cracklib 2.9.6-1
cryptsetup 1.7.5-2
ctags 5.8-5
cups-pk-helper 0.2.6-1
curl 7.56.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.12.0-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.1-1
dconf-editor 3.26.2-1
desktop-file-utils 0.23-1
devhelp 3.26.0-1
device-mapper 2.02.176-1
dhclient 4.3.6-2
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
discord 0.0.2-1
djvulibre 3.5.27-3
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmenu 4.7-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
dosfstools 4.1-1
dotconf 1.3-4
double-conversion 3.0.0-1
dri2proto 2.8-2
dri3proto 1.0-1
dvd+rw-tools 7.1-7
e2fsprogs 1.43.7-1
ebook-tools 0.2.2-4
electron 1.6.15-1
empathy 3.25.90+30+ged4b420d8-1
enca 1.19-1
enchant 1.6.1-2
eog 3.26.2-1
epiphany 3.26.2-1
espeak 1:1.48.04-1
evernote-sdk-python 1.25.0-4
evince 3.26.0+14+g2a499547-1
evolution 3.26.2-1
evolution-data-server 3.26.2.1-1
evtest 1.33-2
exempi 2.4.3+2+g65a8492-1
exiv2 0.26-2
exo 0.11.5-1
expac 8-1
expat 2.2.4-1
faac 1.29.7.7-1
faad2 2.8.5-1
fakeroot 1.22-1
farstream 0.2.8-1
fbpdf-git r93.e31a61b-1
feh 2.22.2-1
ffmpeg 1:3.4-4
ffmpeg2.8 2.8.13-2
fftw 3.3.7-1
file 5.32-1
file-roller 3.26.2-1
filesystem 2017.03-2
filezilla 3.29.0-1
findutils 4.6.0-2
fingerprint-gui 1.09-3
firefox 57.0-1
firejail 0.9.50-1
five-or-more 3.26.0-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flatpak 0.10.0-1
flex 2.6.4-1
flexbox-udev 1.0-1
folks 0.11.4-1
fontconfig 2.12.6-1
fontsproto 2.1.3-2
four-in-a-row 3.22.2+5+g9021ef9-1
frameworkintegration 5.40.0-1
freeglut 3.0.0-2
freerdp 1:2.0.0_rc0-3
freetype2 2.8.1-1
fribidi 0.19.7-1
frotz 2.44-5
fuse-common 3.2.0-1
fuse2 2.9.7-4
garcon 0.6.1-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.2.0-3
gcc-libs 7.2.0-3
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
gdl 3.26.0-1
gdm 3.26.2.1-1
geany 1.31-1
gedit 3.22.1+1+gd21912e3e-1
gedit-code-assistance 3.16.0+4+gd19b879-1
geeknote-improved-git 2.0.12.r784.ad9ad0d-1
gegl 0.3.20-1
gegl02 0.2.0-7
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
geoip 1.6.11-1
geoip-database 20171107-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.22-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.15.0-1
gitg 3.26-1
gjs 1.50.1-1
gksu 2.0.2-6
glade 3.20.1+6+gcac71ec3-1
glew 2.1.0-1
glib 1.2.10-14
glib-networking 2.54.1-1
glib2 2.54.2-2
glib2-docs 2.54.2-2
glibc 2.26-6
glibmm 2.54.1-1
glproto 1.4.17-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmime3 3.0.3-1
gmp 6.1.2-1
gnome-2048 3.26.1-1
gnome-autoar 0.2.2-1
gnome-backgrounds 3.26.2-1
gnome-bluetooth 3.26.0+1+g3875844-1
gnome-builder 3.26.2-1
gnome-calculator 3.26.0-1
gnome-calendar 3.26.2-1
gnome-characters 3.26.2-1
gnome-chess 3.26.0-1
gnome-clocks 3.26.1-1
gnome-code-assistance 3.16.1+6+ga46522a-1
gnome-color-manager 3.26.0+3+g3620f9b-1
gnome-contacts 3.26+3+g643f622-1
gnome-control-center 3.26.2-1
gnome-desktop 1:3.26.2-1
gnome-devel-docs 3.26.0-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.26.2-1
gnome-documents 3.26.1-1
gnome-font-viewer 3.26.0-1
gnome-getting-started-docs 3.26.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.20.1-1
gnome-klotski 3.22.2+4+ga445c76-1
gnome-logs 3.26.2-1
gnome-mahjongg 3.22.0+1+g55799c1-1
gnome-maps 3.26.2-1
gnome-menus 3.13.3+29+g7f0844e-1
gnome-mines 3.26.0+5+g7f5a1e5-1
gnome-music 3.26.1-1
gnome-nettool 3.8.1+144+gdd04271-1
gnome-nibbles 3.24.0+1+g623d38e-1
gnome-online-accounts 3.26.1-1
gnome-online-miners 3.26.0-1
gnome-photos 3.26.2-1
gnome-robots 3.22.2+3+ge5c72ee-1
gnome-screenshot 3.26.0-1
gnome-session 3.26.1-1
gnome-settings-daemon 3.26.2-1
gnome-shell 3.26.2-1
gnome-shell-extensions 3.26.2-1
gnome-sound-recorder 3.24.0.1+8+g0b8e221-1
gnome-sudoku 3.26.0+6+g0ffe857-1
gnome-system-monitor 3.26.0+1+g97b9578d-1
gnome-taquin 3.26.1-1
gnome-terminal 3.26.2-1
gnome-tetravex 3.22.0+4+g817dbf6-1
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnome-todo 3.26.2-1
gnome-tweak-tool 3.26.3-1
gnome-user-docs 3.26.2-1
gnome-user-share 3.18.3+2+g7b451ae-1
gnome-weather 3.26.0-1
gnu-netcat 0.7.1-6
gnupg 2.2.2-1
gnutls 3.5.16-1
gobject-introspection-runtime 1.54.1-1
gom 0.3.3-1
goocanvas 2.0.2-1
google-chrome 62.0.3202.94-1
gparted 0.30.0-3
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.6.0-1
graphite 1:1.3.10-1
graphviz 2.40.1-9
grep 3.1-1
grilo 0.3.4-1
grilo-plugins 0.3.5-1
groff 1.22.3-7
grub 2:2.02-3
grub-customizer 5.0.6-5
gscreenshot 2.9.3-1
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gsound 1.0.2-2
gspell 1.6.1-1
gssdp 1.0.2-1
